question_type	question_text	required	page_number	option_text	option_values
instruction	Welcome to this survey. Press <strong>Next</strong> to begin.	0	1		
instruction	In the past 30 days, which statement best describes the kinds of physical activity you usually did?  Do not include the time you spent working at a job.  Please read all six statements before selecting one.	0	2
instruction	1. I did not do much physical activity.  I mostly did things like watching television, reading, playing cards, or playing computer games.  Only occasionally, no more than once or twice a month, did I do anything more active such as going for a walk or playing tennis.	0	3
instruction	2. Once or twice a week, I did light activities such as getting outdoors on the weekends for an easy walk or stroll.  Or one or twice a week, I did chores around the house such as sweeping floors or vacuuming.	0	3
instruction	3. About three times a week, I did moderate activities such as brisk walking, swimming, or riding a bike for about 15–20 minutes each time. Or about once a week, I did moderately difficult chores such as raking or mowing the lawn for about 45–60 minutes. Or about once a week, I played sports such as softball, basketball, or soccer for about 45–60 minutes.	0	3
instruction	4. Almost daily, that is five or more times a week, I did moderate activities such as brisk walking, swimming, or riding a bike for 30 minutes or more each time. Or about once a week, I did moderately difficult chores or played sports for 2 hours or more.	0	3
instruction	5. About three times a week, I did vigorous activities such as running or riding hard on a bike for 30 minutes or more each time.	0	3
instruction	6. Almost daily, that is five or more times a week, I did vigorous activities such as running or riding hard on a bike for 30 minutes or more each time.	0	3
radio	Please select the option that best describes the kinds of physical activity you have usually done.	1	3	1,2,3,4,5,6	1,2,3,4,5,6
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4		


